the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          2               16                1000      0.593       0.00        0.03           0.940       0.540       0.920     
2          4               32                1000      0.598       0.01        0.05           1.040       0.540       0.940     
4          8               64                1000      0.605       0.01        0.11           0.760       0.540       1.480     
8          16              128               1000      0.629       0.03        0.20           1.100       0.560       0.960     
16         32              256               1000      0.649       0.05        0.39           0.980       0.580       0.800     
32         64              512               1000      0.691       0.09        0.74           1.340       0.620       1.360     
64         128             1024              1000      0.750       0.17        1.37           1.080       0.720       1.320     
128        256             2048              1000      0.881       0.29        2.33           1.040       0.820       1.440     
256        512             4096              1000      1.128       0.45        3.63           1.520       1.080       2.160     
512        1024            8192              1000      1.665       0.62        4.92           2.340       1.600       2.560     
1024       2048            16384             1000      2.715       0.75        6.03           3.680       2.680       4.000     
2048       4096            32768             1000      4.783       0.86        6.85           13.140      4.700       7.540     
4096       8192            65536             1000      8.939       0.92        7.33           17.720      8.820       12.840    
8192       16384           131072            1000      17.246      0.95        7.60           25.020      17.020      27.280    
16384      32768           262144            1000      34.038      0.96        7.70           60.160      33.520      63.760    
32768      65536           524288            1000      76.089      0.86        6.89           159.740     69.700      154.660   
65536      131072          1048576           1000      251.041     0.52        4.18           285.420     209.820     221.760   
131072     262144          2097152           1000      420.423     0.62        4.99           552.920     411.100     415.900   
262144     524288          4194304           1000      847.022     0.62        4.95           1068.860    834.880     842.120   
524288     1048576         8388608           1000      1124.699    0.93        7.46           1530.620    1112.620    1131.660  
1048576    2097152         16777216          1000      3125.616    0.67        5.37           3699.040    3088.800    3111.640  

