the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          2               8                 1000      0.401       0.00        0.02           15.520      0.340       0.720     
2          4               16                1000      0.390       0.01        0.04           0.720       0.360       1.020     
4          8               32                1000      0.385       0.02        0.08           0.620       0.360       0.860     
8          16              64                1000      0.391       0.04        0.16           0.680       0.380       0.620     
16         32              128               1000      0.416       0.08        0.31           0.560       0.380       0.900     
32         64              256               1000      0.496       0.13        0.52           0.940       0.480       0.680     
64         128             512               1000      0.688       0.19        0.74           0.940       0.660       0.820     
128        256             1024              1000      1.022       0.25        1.00           1.380       0.980       1.040     
256        512             2048              1000      1.665       0.31        1.23           1.840       1.640       1.860     
512        1024            4096              1000      2.947       0.35        1.39           3.220       2.900       3.160     
1024       2048            8192              1000      5.538       0.37        1.48           13.620      5.460       5.820     
2048       4096            16384             1000      10.668      0.38        1.54           20.220      10.620      10.800    
4096       8192            32768             1000      20.965      0.39        1.56           28.800      20.880      21.280    
8192       16384           65536             1000      41.496      0.39        1.58           52.740      41.360      42.740    
16384      32768           131072            1000      82.528      0.40        1.59           90.360      82.320      83.720    
32768      65536           262144            1000      164.553     0.40        1.59           172.840     164.240     171.240   
65536      131072          524288            1000      328.938     0.40        1.59           345.240     328.080     340.080   
131072     262144          1048576           1000      676.408     0.39        1.55           704.640     669.600     672.040   
262144     524288          2097152           1000      1324.896    0.40        1.58           1342.920    1317.140    1353.920  
524288     1048576         4194304           1000      2726.055    0.38        1.54           2739.240    2695.900    2712.560  
1048576    2097152         8388608           1000      5454.418    0.38        1.54           5478.100    5416.000    5429.580  

