the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               16                1000      0.101       0.01        0.16           0.240       0.040       0.120     
2          2               32                1000      0.118       0.02        0.27           0.760       0.040       0.060     
4          4               64                1000      0.129       0.03        0.50           0.260       0.060       0.160     
8          8               128               1000      0.116       0.07        1.10           0.280       0.060       0.320     
16         16              256               1000      0.115       0.14        2.23           0.260       0.060       0.160     
32         32              512               1000      0.107       0.30        4.78           0.280       0.080       0.300     
64         64              1024              1000      0.139       0.46        7.39           0.300       0.120       0.520     
128        128             2048              1000      0.211       0.61        9.69           0.560       0.180       0.500     
256        256             4096              1000      0.345       0.74        11.87          0.580       0.320       0.940     
512        512             8192              1000      0.608       0.84        13.48          1.020       0.560       1.000     
1024       1024            16384             1000      1.143       0.90        14.33          10.320      1.100       2.100     
2048       2048            32768             1000      2.231       0.92        14.69          2.660       2.180       7.220     
4096       4096            65536             1000      4.390       0.93        14.93          9.960       4.320       10.960    
8192       8192            131072            1000      8.700       0.94        15.07          16.880      8.560       23.320    
16384      16384           262144            1000      17.228      0.95        15.22          34.480      17.020      41.860    
32768      32768           524288            1000      35.393      0.93        14.81          83.840      34.120      86.600    
65536      65536           1048576           1000      163.622     0.40        6.41           189.040     137.200     138.680   
131072     131072          2097152           1000      251.193     0.52        8.35           269.520     243.480     267.560   
262144     262144          4194304           1000      489.436     0.54        8.57           520.560     482.920     488.860   
524288     524288          8388608           1000      944.850     0.55        8.88           983.180     937.340     939.600   
1048576    1048576         16777216          1000      1776.309    0.59        9.44           2262.800    1749.720    1777.180  

