the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          6               24                1000      0.099       0.06        0.24           0.240       0.040       0.440     
2          12              48                1000      0.104       0.11        0.46           0.260       0.060       0.120     
4          24              96                1000      0.104       0.23        0.92           0.260       0.060       0.200     
8          48              192               1000      0.133       0.36        1.45           0.300       0.060       0.620     
16         96              384               1000      0.143       0.67        2.68           0.320       0.080       0.500     
32         192             768               1000      0.173       1.11        4.43           0.500       0.120       0.180     
64         384             1536              1000      0.244       1.57        6.30           0.640       0.200       0.380     
128        768             3072              1000      0.600       1.28        5.12           6.100       0.300       0.760     
256        1536            6144              1000      0.584       2.63        10.51          0.780       0.520       1.140     
512        3072            12288             1000      1.055       2.91        11.65          1.520       0.980       2.160     
1024       6144            24576             1000      2.139       2.87        11.49          8.800       1.880       4.680     
2048       12288           49152             1000      3.910       3.14        12.57          14.020      3.580       7.700     
4096       24576           98304             1000      7.454       3.30        13.19          14.180      7.140       16.640    
8192       49152           196608            1000      14.519      3.39        13.54          23.000      14.200      45.280    
16384      98304           393216            1000      28.597      3.44        13.75          66.380      27.720      67.160    
32768      196608          786432            1000      96.881      2.03        8.12           176.780     88.780      136.100   
65536      393216          1572864           1000      326.939     1.20        4.81           361.460     299.320     305.660   
131072     786432          3145728           1000      709.140     1.11        4.44           735.480     680.320     670.860   
262144     1572864         6291456           1000      1446.770    1.09        4.35           1484.960    1397.360    1458.380  
524288     3145728         12582912          1000      2527.889    1.24        4.98           2929.720    2465.920    2516.540  
1048576    6291456         25165824          1000      7528.502    0.84        3.34           8459.580    6357.200    7008.240  

