the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               8                 1000      0.408       0.00        0.02           0.740       0.400       0.720     
2          2               16                1000      0.418       0.00        0.04           0.680       0.360       0.920     
4          4               32                1000      0.428       0.01        0.07           0.720       0.380       0.720     
8          8               64                1000      0.434       0.02        0.15           0.600       0.380       1.260     
16         16              128               1000      0.445       0.04        0.29           0.620       0.400       0.680     
32         32              256               1000      0.471       0.07        0.54           0.660       0.420       1.140     
64         64              512               1000      0.528       0.12        0.97           0.840       0.500       0.860     
128        128             1024              1000      0.623       0.21        1.64           0.860       0.580       0.780     
256        256             2048              1000      0.815       0.31        2.51           1.100       0.760       1.340     
512        512             4096              1000      1.210       0.42        3.39           1.600       1.160       1.540     
1024       1024            8192              1000      1.983       0.52        4.13           9.320       1.940       2.820     
2048       2048            16384             1000      3.526       0.58        4.65           4.240       3.460       4.520     
4096       4096            32768             1000      6.925       0.59        4.73           10.940      6.580       7.820     
8192       8192            65536             1000      13.163      0.62        4.98           20.660      12.860      16.640    
16384      16384           131072            1000      25.545      0.64        5.13           41.780      25.120      37.320    
32768      32768           262144            1000      50.340      0.65        5.21           82.700      49.760      81.280    
65536      65536           524288            1000      103.247     0.63        5.08           157.780     100.720     169.660   
131072     131072          1048576           1000      242.039     0.54        4.33           309.500     231.500     240.340   
262144     262144          2097152           1000      477.389     0.55        4.39           670.600     467.740     447.160   
524288     524288          4194304           1000      889.094     0.59        4.72           1164.120    871.000     883.680   
1048576    1048576         8388608           1000      1649.117    0.64        5.09           1918.840    1638.320    1660.900  

