the current thread cpu affinity is 0x10, policy is 1, priority is 49
实点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               12                1000      0.525       0.00        0.02           0.680       0.500       1.000     
2          2               24                1000      0.529       0.00        0.05           0.840       0.480       1.460     
4          4               48                1000      0.532       0.01        0.09           0.860       0.500       1.260     
8          8               96                1000      0.545       0.01        0.18           0.980       0.520       1.280     
16         16              192               1000      0.570       0.03        0.34           0.840       0.520       1.460     
32         32              384               1000      0.630       0.05        0.61           0.940       0.600       1.220     
64         64              768               1000      0.792       0.08        0.97           8.680       0.760       0.980     
128        128             1536              1000      1.043       0.12        1.47           8.900       1.000       1.260     
256        256             3072              1000      1.547       0.17        1.99           1.740       1.520       2.860     
512        512             6144              1000      2.685       0.19        2.29           3.240       2.560       2.820     
1024       1024            12288             1000      4.676       0.22        2.63           5.640       4.600       6.120     
2048       2048            24576             1000      8.807       0.23        2.79           17.900      8.720       10.340    
4096       4096            49152             1000      17.028      0.24        2.89           25.060      16.920      18.880    
8192       8192            98304             1000      33.604      0.24        2.93           46.700      33.400      38.680    
16384      16384           196608            1000      66.540      0.25        2.95           82.580      66.160      75.540    
32768      32768           393216            1000      138.540     0.24        2.84           226.000     132.280     167.040   
65536      65536           786432            1000      347.608     0.19        2.26           446.040     329.380     301.920   
131072     131072          1572864           1000      595.151     0.22        2.64           620.900     585.540     618.000   
262144     262144          3145728           1000      1190.218    0.22        2.64           1426.320    1174.160    1190.280  
524288     524288          6291456           1000      2334.797    0.22        2.69           2924.200    2302.200    2322.500  
1048576    1048576         12582912          1000      4759.038    0.22        2.64           5752.180    4421.000    5053.100  

