the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               12                1000      0.092       0.01        0.13           0.240       0.060       0.080     
2          2               24                1000      0.091       0.02        0.26           0.280       0.060       0.240     
4          4               48                1000      0.102       0.04        0.47           0.320       0.060       0.080     
8          8               96                1000      0.110       0.07        0.87           0.280       0.060       0.280     
16         16              192               1000      0.108       0.15        1.78           8.160       0.060       0.100     
32         32              384               1000      0.119       0.27        3.23           0.400       0.080       0.780     
64         64              768               1000      0.166       0.39        4.64           0.440       0.120       0.420     
128        128             1536              1000      0.209       0.61        7.35           0.360       0.160       0.360     
256        256             3072              1000      0.334       0.77        9.21           0.900       0.280       0.860     
512        512             6144              1000      0.586       0.87        10.49          1.280       0.540       1.320     
1024       1024            12288             1000      1.043       0.98        11.79          1.540       0.960       2.140     
2048       2048            24576             1000      1.814       1.13        13.55          2.360       1.700       4.620     
4096       4096            49152             1000      3.330       1.23        14.76          11.740      3.200       10.900    
8192       8192            98304             1000      6.427       1.27        15.30          14.940      6.220       23.640    
16384      16384           196608            1000      12.881      1.27        15.26          29.600      12.540      39.000    
32768      32768           393216            1000      26.123      1.25        15.05          64.140      25.220      88.420    
65536      65536           786432            1000      93.705      0.70        8.39           162.460     84.420      165.940   
131072     131072          1572864           1000      307.900     0.43        5.11           329.260     300.900     324.180   
262144     262144          3145728           1000      637.137     0.41        4.94           684.100     625.460     630.600   
524288     524288          6291456           1000      1117.027    0.47        5.63           1193.020    1105.360    1111.520  
1048576    1048576         12582912          1000      2661.691    0.39        4.73           2854.160    2630.320    2660.200  

