the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               8                 1000      0.382       0.00        0.02           0.840       0.340       0.460     
2          2               16                1000      0.430       0.00        0.04           38.580      0.360       0.680     
4          4               32                1000      0.387       0.01        0.08           0.600       0.360       0.600     
8          8               64                1000      0.390       0.02        0.16           0.800       0.340       1.060     
16         16              128               1000      0.397       0.04        0.32           0.560       0.360       0.800     
32         32              256               1000      0.422       0.08        0.61           0.900       0.400       1.040     
64         64              512               1000      0.466       0.14        1.10           0.780       0.420       0.700     
128        128             1024              1000      0.558       0.23        1.84           8.140       0.520       0.800     
256        256             2048              1000      0.696       0.37        2.94           1.120       0.640       0.920     
512        512             4096              1000      1.017       0.50        4.03           1.280       0.980       1.160     
1024       1024            8192              1000      1.612       0.64        5.08           1.920       1.560       2.220     
2048       2048            16384             1000      2.833       0.72        5.78           3.220       2.800       3.420     
4096       4096            32768             1000      5.223       0.78        6.27           5.660       5.160       6.460     
8192       8192            65536             1000      10.512      0.78        6.23           17.800      10.280      12.580    
16384      16384           131072            1000      20.011      0.82        6.55           27.420      19.860      24.500    
32768      32768           262144            1000      39.261      0.83        6.68           50.560      38.960      55.200    
65536      65536           524288            1000      78.044      0.84        6.72           118.580     77.220      128.580   
131072     131072          1048576           1000      245.487     0.53        4.27           276.300     191.100     208.240   
262144     262144          2097152           1000      398.747     0.66        5.26           421.320     389.780     383.660   
524288     524288          4194304           1000      721.270     0.73        5.82           744.640     709.100     716.580   
1048576    1048576         8388608           1000      1331.233    0.79        6.30           1395.260    1317.760    1331.980  

