the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               8                 1000      0.433       0.00        0.02           0.740       0.360       0.560     
2          2               16                1000      0.438       0.00        0.04           0.880       0.360       0.820     
4          4               32                1000      0.429       0.01        0.07           0.700       0.360       0.840     
8          8               64                1000      0.453       0.02        0.14           7.620       0.380       0.900     
16         16              128               1000      0.457       0.04        0.28           0.780       0.380       1.080     
32         32              256               1000      0.483       0.07        0.53           0.840       0.420       0.740     
64         64              512               1000      0.547       0.12        0.94           9.400       0.480       1.420     
128        128             1024              1000      0.633       0.20        1.62           0.960       0.560       0.680     
256        256             2048              1000      0.823       0.31        2.49           8.580       0.760       1.660     
512        512             4096              1000      1.220       0.42        3.36           1.720       1.140       1.580     
1024       1024            8192              1000      2.004       0.51        4.09           2.920       1.920       2.380     
2048       2048            16384             1000      3.542       0.58        4.63           4.020       3.460       4.440     
4096       4096            32768             1000      6.629       0.62        4.94           15.680      6.520       7.740     
8192       8192            65536             1000      13.244      0.62        4.95           20.740      13.040      18.000    
16384      16384           131072            1000      25.613      0.64        5.12           33.800      25.280      35.020    
32768      32768           262144            1000      50.402      0.65        5.20           65.840      49.900      83.460    
65536      65536           524288            1000      103.377     0.63        5.07           159.680     100.020     166.720   
131072     131072          1048576           1000      241.204     0.54        4.35           658.880     231.220     243.900   
262144     262144          2097152           1000      477.571     0.55        4.39           607.300     468.040     448.680   
524288     524288          4194304           1000      890.073     0.59        4.71           1176.500    876.600     881.480   
1048576    1048576         8388608           1000      1649.751    0.64        5.08           1916.860    1638.680    2081.180  

