the current thread cpu affinity is 0x10, policy is 1, priority is 49
实点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               12                1000      0.509       0.00        0.02           0.840       0.480       0.680     
2          2               24                1000      0.513       0.00        0.05           1.000       0.500       1.300     
4          4               48                1000      0.512       0.01        0.09           0.840       0.500       1.040     
8          8               96                1000      0.519       0.02        0.19           0.680       0.480       1.240     
16         16              192               1000      0.534       0.03        0.36           1.040       0.480       0.740     
32         32              384               1000      0.558       0.06        0.69           0.740       0.540       1.040     
64         64              768               1000      0.625       0.10        1.23           1.080       0.580       1.320     
128        128             1536              1000      0.728       0.18        2.11           1.200       0.680       1.400     
256        256             3072              1000      0.941       0.27        3.27           1.240       0.920       1.320     
512        512             6144              1000      1.385       0.37        4.43           1.760       1.340       1.740     
1024       1024            12288             1000      2.264       0.45        5.43           8.140       2.200       3.020     
2048       2048            24576             1000      3.992       0.51        6.16           5.620       3.940       5.000     
4096       4096            49152             1000      7.499       0.55        6.55           13.600      7.380       10.180    
8192       8192            98304             1000      14.448      0.57        6.80           27.180      14.260      19.960    
16384      16384           196608            1000      28.305      0.58        6.95           45.280      28.040      43.480    
32768      32768           393216            1000      55.821      0.59        7.04           85.820      55.200      99.660    
65536      65536           786432            1000      178.086     0.37        4.42           199.980     167.120     183.320   
131072     131072          1572864           1000      390.452     0.34        4.03           526.200     374.340     394.120   
262144     262144          3145728           1000      739.045     0.35        4.26           982.300     727.680     725.520   
524288     524288          6291456           1000      1473.931    0.36        4.27           1978.180    1450.060    1475.240  
1048576    1048576         12582912          1000      2317.649    0.45        5.43           2925.520    2248.140    2303.140  

