the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               4                 1000      0.281       0.00        0.01           0.560       0.240       0.440     
2          2               8                 1000      0.286       0.01        0.03           0.580       0.220       0.720     
4          4               16                1000      0.285       0.01        0.06           0.620       0.240       0.420     
8          8               32                1000      0.291       0.03        0.11           0.520       0.260       0.400     
16         16              64                1000      0.299       0.05        0.21           0.460       0.240       0.520     
32         32              128               1000      0.322       0.10        0.40           6.840       0.280       0.300     
64         64              256               1000      0.396       0.16        0.65           0.740       0.340       0.780     
128        128             512               1000      0.525       0.24        0.98           0.680       0.460       0.660     
256        256             1024              1000      0.782       0.33        1.31           1.200       0.740       0.940     
512        512             2048              1000      1.302       0.39        1.57           1.540       1.260       1.280     
1024       1024            4096              1000      2.335       0.44        1.75           10.400      2.280       2.480     
2048       2048            8192              1000      4.390       0.47        1.87           4.660       4.340       4.460     
4096       4096            16384             1000      8.510       0.48        1.93           18.440      8.420       8.480     
8192       8192            32768             1000      16.728      0.49        1.96           24.420      16.640      16.840    
16384      16384           65536             1000      33.183      0.49        1.98           74.160      33.020      33.800    
32768      32768           131072            1000      65.968      0.50        1.99           80.340      65.800      66.600    
65536      65536           262144            1000      131.605     0.50        1.99           140.440     131.320     137.200   
131072     131072          524288            1000      263.030     0.50        1.99           279.340     262.380     273.440   
262144     262144          1048576           1000      547.142     0.48        1.92           576.020     540.720     542.720   
524288     524288          2097152           1000      1073.314    0.49        1.95           1098.500    1064.920    1076.420  
1048576    1048576         4194304           1000      2190.238    0.48        1.91           2203.100    2169.120    2174.840  

