the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               4                 1000      0.280       0.00        0.01           0.580       0.220       0.920     
2          2               8                 1000      0.284       0.01        0.03           0.620       0.220       0.540     
4          4               16                1000      0.293       0.01        0.05           9.020       0.240       0.900     
8          8               32                1000      0.291       0.03        0.11           0.640       0.260       0.340     
16         16              64                1000      0.297       0.05        0.22           0.480       0.240       0.440     
32         32              128               1000      0.314       0.10        0.41           0.480       0.280       0.660     
64         64              256               1000      0.394       0.16        0.65           0.800       0.360       0.380     
128        128             512               1000      0.531       0.24        0.96           7.920       0.480       0.960     
256        256             1024              1000      0.781       0.33        1.31           1.020       0.740       1.000     
512        512             2048              1000      1.292       0.40        1.59           1.640       1.240       1.340     
1024       1024            4096              1000      2.340       0.44        1.75           11.220      2.280       2.560     
2048       2048            8192              1000      4.392       0.47        1.87           4.880       4.340       4.580     
4096       4096            16384             1000      8.507       0.48        1.93           9.400       8.460       12.280    
8192       8192            32768             1000      16.729      0.49        1.96           24.780      16.640      24.620    
16384      16384           65536             1000      33.198      0.49        1.97           41.140      33.020      46.940    
32768      32768           131072            1000      66.081      0.50        1.98           74.400      65.820      89.960    
65536      65536           262144            1000      132.179     0.50        1.98           166.140     131.360     179.460   
131072     131072          524288            1000      327.952     0.40        1.60           599.720     319.460     300.460   
262144     262144          1048576           1000      566.854     0.46        1.85           748.940     561.020     553.040   
524288     524288          2097152           1000      1109.650    0.47        1.89           1127.420    1102.680    1119.100  
1048576    1048576         4194304           1000      2209.947    0.47        1.90           2241.020    2198.260    2201.660  

