the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          6               24                1000      0.066       0.09        0.36           0.220       0.040       0.100     
2          12              48                1000      0.308       0.04        0.16           0.460       0.280       1.020     
4          24              96                1000      0.312       0.08        0.31           0.520       0.280       0.400     
8          48              192               1000      0.320       0.15        0.60           0.480       0.280       0.780     
16         96              384               1000      0.332       0.29        1.16           0.500       0.300       0.680     
32         192             768               1000      0.375       0.51        2.05           0.560       0.340       0.380     
64         384             1536              1000      0.538       0.71        2.86           11.800      0.500       0.520     
128        768             3072              1000      0.778       0.99        3.95           0.940       0.760       1.220     
256        1536            6144              1000      1.296       1.19        4.74           1.780       1.260       1.300     
512        3072            12288             1000      2.322       1.32        5.29           3.580       2.280       2.320     
1024       6144            24576             1000      4.370       1.41        5.62           4.680       4.340       4.600     
2048       12288           49152             1000      8.488       1.45        5.79           16.540      8.440       8.760     
4096       24576           98304             1000      16.689      1.47        5.89           26.920      16.640      16.760    
8192       49152           196608            1000      33.145      1.48        5.93           40.940      33.040      33.440    
16384      98304           393216            1000      65.987      1.49        5.96           78.400      65.820      66.600    
32768      196608          786432            1000      131.619     1.49        5.98           144.940     131.360     132.660   
65536      393216          1572864           1000      262.934     1.50        5.98           274.680     262.420     269.000   
131072     786432          3145728           1000      525.870     1.50        5.98           552.460     524.560     571.860   
262144     1572864         6291456           1000      1129.954    1.39        5.57           1750.320    1111.880    1132.700  
524288     3145728         12582912          1000      2217.411    1.42        5.67           3442.740    2186.380    2188.500  
1048576    6291456         25165824          1000      4340.303    1.45        5.80           5290.200    4324.800    4332.200  

