the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          6               24                1000      0.331       0.02        0.07           0.588       0.322       1.450     
4          24              96                1000      0.359       0.07        0.27           0.581       0.331       0.562     
16         96              384               1000      0.366       0.26        1.05           0.570       0.354       0.850     
64         384             1536              1000      0.431       0.89        3.57           5.648       0.405       0.847     
256        1536            6144              1000      0.641       2.40        9.59           0.980       0.625       1.291     
1024       6144            24576             1000      1.520       4.04        16.16          7.030       1.472       1.978     
4096       24576           98304             1000      5.032       4.88        19.54          5.720       4.951       6.350     
16384      98304           393216            1000      40.197      2.45        9.78           45.945      39.334      46.155    
65536      393216          1572864           1000      180.894     2.17        8.69           190.481     179.894     185.116   
262144     1572864         6291456           1000      1280.971    1.23        4.91           1291.137    1242.417    1298.053  
1048576    6291456         25165824          1000      6133.210    1.03        4.10           6154.131    6079.129    6129.641  

