the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          7               16                1000      0.298       0.02        0.05           0.412       0.293       1.825     
2          14              32                1000      0.300       0.05        0.11           0.586       0.296       0.929     
4          28              64                1000      0.302       0.09        0.21           0.583       0.298       0.650     
8          56              128               1000      0.308       0.18        0.42           0.626       0.304       0.810     
16         112             256               1000      0.323       0.35        0.79           0.741       0.316       0.505     
32         224             512               1000      0.350       0.64        1.46           0.608       0.346       0.628     
64         448             1024              1000      0.412       1.09        2.49           0.710       0.404       0.750     
128        896             2048              1000      0.527       1.70        3.89           0.743       0.521       0.729     
256        1792            4096              1000      0.783       2.29        5.23           0.965       0.755       1.118     
512        3584            8192              1000      1.275       2.81        6.42           7.654       1.232       1.955     
1024       7168            16384             1000      2.182       3.28        7.51           8.581       2.164       2.828     
2048       14336           32768             1000      4.042       3.55        8.11           4.436       4.027       4.928     
4096       28672           65536             1000      7.807       3.67        8.39           8.135       7.761       8.595     
8192       57344           131072            1000      15.363      3.73        8.53           22.250      15.209      16.098    
16384      114688          262144            1000      30.822      3.72        8.51           36.910      30.348      31.524    
32768      229376          524288            1000      60.386      3.80        8.68           66.550      59.939      61.131    
65536      458752          1048576           1000      120.058     3.82        8.73           127.820     119.595     121.290   
131072     917504          2097152           1000      239.251     3.83        8.77           245.432     238.725     240.920   
262144     1835008         4194304           1000      478.606     3.83        8.76           487.631     477.418     479.975   
524288     3670016         8388608           1000      957.120     3.83        8.76           967.945     955.318     957.157   
1048576    7340032         16777216          1000      1914.713    3.83        8.76           1924.268    1911.959    1913.900  

