the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          7               16                1000      0.295       0.02        0.05           0.572       0.292       1.493     
2          14              32                1000      0.298       0.05        0.11           0.418       0.293       0.471     
4          28              64                1000      0.300       0.09        0.21           0.546       0.297       0.594     
8          56              128               1000      0.305       0.18        0.42           0.422       0.301       0.563     
16         112             256               1000      0.333       0.34        0.77           0.616       0.311       0.541     
32         224             512               1000      0.345       0.65        1.48           0.467       0.338       0.755     
64         448             1024              1000      0.405       1.11        2.53           0.813       0.396       0.732     
128        896             2048              1000      0.520       1.72        3.94           0.876       0.511       0.733     
256        1792            4096              1000      0.760       2.36        5.39           1.174       0.746       1.292     
512        3584            8192              1000      1.245       2.88        6.58           1.564       1.229       1.373     
1024       7168            16384             1000      2.170       3.30        7.55           2.664       2.160       3.374     
2048       14336           32768             1000      4.083       3.51        8.03           10.701      4.030       5.108     
4096       28672           65536             1000      7.914       3.62        8.28           13.659      7.762       9.043     
8192       57344           131072            1000      15.746      3.64        8.32           21.492      15.287      16.311    
16384      114688          262144            1000      30.562      3.75        8.58           36.541      30.173      31.838    
32768      229376          524288            1000      60.481      3.79        8.67           68.422      60.079      61.192    
65536      458752          1048576           1000      120.155     3.82        8.73           128.388     119.727     121.753   
131072     917504          2097152           1000      239.994     3.82        8.74           249.106     239.114     244.414   
262144     1835008         4194304           1000      488.855     3.75        8.58           500.015     486.723     490.003   
524288     3670016         8388608           1000      988.809     3.71        8.48           1001.205    984.034     989.027   
1048576    7340032         16777216          1000      1949.975    3.76        8.60           1961.125    1943.670    1946.850  

