the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               16                1000      0.300       0.00        0.05           0.567       0.281       1.565     
2          2               32                1000      0.287       0.01        0.11           0.474       0.285       1.111     
4          4               64                1000      0.287       0.01        0.22           0.654       0.284       1.026     
8          8               128               1000      0.307       0.03        0.42           0.482       0.301       1.033     
16         16              256               1000      0.315       0.05        0.81           6.167       0.305       0.837     
32         32              512               1000      0.325       0.10        1.57           0.728       0.318       0.602     
64         64              1024              1000      0.362       0.18        2.83           0.445       0.355       0.831     
128        128             2048              1000      0.438       0.29        4.67           0.839       0.427       1.286     
256        256             4096              1000      0.588       0.44        6.97           0.911       0.572       1.374     
512        512             8192              1000      0.889       0.58        9.22           1.182       0.880       1.158     
1024       1024            16384             1000      1.477       0.69        11.09          1.848       1.457       2.214     
2048       2048            32768             1000      2.676       0.77        12.25          3.086       2.629       3.587     
4096       4096            65536             1000      5.078       0.81        12.90          5.685       4.986       6.692     
8192       8192            131072            1000      10.264      0.80        12.77          15.616      9.802       10.971    
16384      16384           262144            1000      19.663      0.83        13.33          23.488      19.198      22.256    
32768      32768           524288            1000      38.377      0.85        13.66          43.434      38.011      42.423    
65536      65536           1048576           1000      75.647      0.87        13.86          82.144      75.256      104.970   
131072     131072          2097152           1000      206.423     0.63        10.16          219.161     171.474     233.903   
262144     262144          4194304           1000      515.614     0.51        8.13           530.584     475.201     527.395   
524288     524288          8388608           1000      1125.952    0.47        7.45           1144.377    1083.887    1146.379  
1048576    1048576         16777216          1000      2351.386    0.45        7.14           2375.704    2322.021    2356.086  

