the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          2               20                1000      0.358       0.01        0.06           0.577       0.355       1.489     
2          4               40                1000      0.360       0.01        0.11           0.621       0.357       0.901     
4          8               80                1000      0.363       0.02        0.22           0.558       0.360       1.236     
8          16              160               1000      0.370       0.04        0.43           1.303       0.367       1.524     
16         32              320               1000      0.381       0.08        0.84           1.888       0.377       1.232     
32         64              640               1000      0.453       0.14        1.41           0.767       0.398       1.510     
64         128             1280              1000      2.591       0.05        0.49           2138.958    0.442       1.344     
128        256             2560              1000      0.560       0.46        4.57           2.714       0.537       1.570     
256        512             5120              1000      0.879       0.58        5.82           1.336       0.732       2.073     
512        1024            10240             1000      1.276       0.80        8.03           2.495       1.141       1.799     
1024       2048            20480             1000      2.007       1.02        10.20          3.132       1.916       2.974     
2048       4096            40960             1000      3.531       1.16        11.60          6.552       3.468       6.300     
4096       8192            81920             1000      6.800       1.20        12.05          8.792       6.589       8.916     
8192       16384           163840            1000      13.733      1.19        11.93          16.248      13.083      16.554    
16384      32768           327680            1000      27.545      1.19        11.90          36.219      26.581      28.856    
32768      65536           655360            1000      52.976      1.24        12.37          91.413      51.719      52.753    
65536      131072          1310720           1000      102.352     1.28        12.81          158.523     101.062     103.190   
131072     262144          2621440           1000      202.023     1.30        12.98          252.334     200.788     202.700   
262144     524288          5242880           1000      402.335     1.30        13.03          429.534     400.440     401.377   
524288     1048576         10485760          1000      800.273     1.31        13.10          810.391     798.300     799.760   
1048576    2097152         20971520          1000      1940.839    1.08        10.81          1979.219    1931.828    1939.243  

