the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               16                1000      0.074       0.01        0.22           0.102       0.072       0.122     
2          2               32                1000      0.073       0.03        0.44           0.091       0.073       0.109     
4          4               64                1000      0.074       0.05        0.87           0.093       0.072       0.090     
8          8               128               1000      0.074       0.11        1.73           0.093       0.073       0.075     
16         16              256               1000      0.079       0.20        3.24           0.102       0.074       0.091     
32         32              512               1000      0.078       0.41        6.59           0.288       0.076       0.125     
64         64              1024              1000      0.085       0.76        12.11          0.108       0.082       0.114     
128        128             2048              1000      0.099       1.29        20.65          0.122       0.098       0.125     
256        256             4096              1000      0.130       1.97        31.53          0.327       0.128       0.150     
512        512             8192              1000      0.189       2.71        43.33          0.211       0.187       0.267     
1024       1024            16384             1000      0.305       3.36        53.69          0.319       0.304       0.328     
2048       2048            32768             1000      0.538       3.81        60.92          0.734       0.536       0.550     
4096       4096            65536             1000      1.005       4.07        65.20          1.202       1.002       1.319     
8192       8192            131072            1000      1.938       4.23        67.63          2.238       1.936       2.234     
16384      16384           262144            1000      3.827       4.28        68.50          11.224      3.803       4.274     
32768      32768           524288            1000      7.845       4.18        66.83          13.916      7.543       8.295     
65536      65536           1048576           1000      15.364      4.27        68.25          20.213      15.050      18.021    
131072     131072          2097152           1000      30.405      4.31        68.97          32.129      29.998      36.801    
262144     262144          4194304           1000      60.777      4.31        69.01          67.987      59.939      72.778    
524288     524288          8388608           1000      148.990     3.52        56.30          165.010     135.457     165.339   
1048576    1048576         16777216          1000      355.600     2.95        47.18          361.349     335.001     358.307   

