the current thread cpu affinity is 0xffffffff, policy is 0, priority is 0
实点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               8                 1000      0.222       0.00        0.04           0.297       0.217       0.861     
2          2               16                1000      0.231       0.01        0.07           0.399       0.224       0.736     
4          4               32                1000      0.243       0.02        0.13           0.288       0.237       0.560     
8          8               64                1000      0.280       0.03        0.23           0.574       0.277       0.537     
16         16              128               1000      0.372       0.04        0.34           0.455       0.364       0.680     
32         32              256               1000      0.529       0.06        0.48           0.608       0.519       1.140     
64         64              512               1000      0.829       0.08        0.62           1.006       0.820       1.244     
128        128             1024              1000      1.451       0.09        0.71           1.558       1.429       1.896     
256        256             2048              1000      2.675       0.10        0.77           12.874      2.635       3.103     
512        512             4096              1000      7.507       0.07        0.55           2398.474    5.083       5.538     
1024       1024            8192              1000      10.023      0.10        0.82           16.100      9.947       10.441    
2048       2048            16384             1000      20.857      0.10        0.79           1095.117    19.721      20.537    
4096       4096            32768             1000      39.756      0.10        0.82           274.625     39.191      40.603    
8192       8192            65536             1000      78.809      0.10        0.83           220.700     78.201      80.506    
16384      16384           131072            1000      157.319     0.10        0.83           258.876     156.370     160.299   
32768      32768           262144            1000      314.762     0.10        0.83           365.122     312.990     320.394   
65536      65536           524288            1000      627.885     0.10        0.84           682.467     625.329     640.525   
131072     131072          1048576           1000      1273.687    0.10        0.82           1572.981    1251.111    1300.081  
262144     262144          2097152           1000      2516.667    0.10        0.83           2594.008    2504.766    2618.279  
524288     524288          4194304           1000      5219.961    0.10        0.80           5278.477    5192.817    5223.649  
1048576    1048576         8388608           1000      10515.858   0.10        0.80           10559.916   10481.589   10547.016 

