the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               8                 1000      0.224       0.00        0.04           0.266       0.216       0.598     
2          2               16                1000      0.225       0.01        0.07           0.392       0.217       0.949     
4          4               32                1000      0.228       0.02        0.14           0.445       0.221       0.452     
8          8               64                1000      0.227       0.04        0.28           0.479       0.219       0.327     
16         16              128               1000      0.229       0.07        0.56           0.814       0.224       0.407     
32         32              256               1000      0.254       0.13        1.01           0.550       0.239       0.342     
64         64              512               1000      0.285       0.22        1.80           0.656       0.270       0.399     
128        128             1024              1000      0.340       0.38        3.01           0.598       0.326       0.887     
256        256             2048              1000      0.458       0.56        4.48           0.814       0.444       0.610     
512        512             4096              1000      0.716       0.72        5.72           1.390       0.686       0.815     
1024       1024            8192              1000      1.189       0.86        6.89           8.903       1.150       1.276     
2048       2048            16384             1000      2.119       0.97        7.73           2.590       2.081       2.249     
4096       4096            32768             1000      4.308       0.95        7.61           5.905       4.025       5.676     
8192       8192            65536             1000      8.427       0.97        7.78           15.984      7.867       11.062    
16384      16384           131072            1000      18.920      0.87        6.93           24.365      18.082      22.891    
32768      32768           262144            1000      49.632      0.66        5.28           263.682     48.294      49.310    
65536      65536           524288            1000      102.623     0.64        5.11           161.508     101.631     105.673   
131072     131072          1048576           1000      207.673     0.63        5.05           241.344     205.877     216.524   
262144     262144          2097152           1000      467.425     0.56        4.49           488.483     417.772     485.154   
524288     524288          4194304           1000      1017.828    0.52        4.12           1037.831    966.983     1021.815  
1048576    1048576         8388608           1000      1372.312    0.76        6.11           1459.392    1352.796    1465.625  

