the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               12                1000      0.074       0.01        0.16           0.075       0.072       0.303     
2          2               24                1000      0.074       0.03        0.32           0.287       0.073       0.264     
4          4               48                1000      0.076       0.05        0.63           0.081       0.075       0.131     
8          8               96                1000      0.075       0.11        1.28           0.078       0.075       0.182     
16         16              192               1000      0.078       0.21        2.47           0.303       0.076       0.109     
32         32              384               1000      0.081       0.39        4.72           0.299       0.080       0.111     
64         64              768               1000      0.182       0.35        4.22           0.288       0.089       0.285     
128        128             1536              1000      0.110       1.16        13.92          0.343       0.107       0.149     
256        256             3072              1000      0.148       1.73        20.79          0.454       0.143       0.302     
512        512             6144              1000      0.229       2.24        26.89          0.440       0.219       0.582     
1024       1024            12288             1000      0.384       2.67        32.01          0.608       0.370       0.535     
2048       2048            24576             1000      0.727       2.82        33.81          1.101       0.705       1.228     
4096       4096            49152             1000      1.547       2.65        31.78          1.802       1.493       2.199     
8192       8192            98304             1000      2.944       2.78        33.39          10.037      2.850       3.762     
16384      16384           196608            1000      5.962       2.75        32.97          6.364       5.766       7.496     
32768      32768           393216            1000      12.248      2.68        32.11          16.816      11.878      14.507    
65536      65536           786432            1000      25.480      2.57        30.86          31.292      23.635      31.034    
131072     131072          1572864           1000      52.556      2.49        29.93          60.484      48.497      61.982    
262144     262144          3145728           1000      119.621     2.19        26.30          136.372     111.773     137.158   
524288     524288          6291456           1000      324.215     1.62        19.41          339.421     316.977     330.422   
1048576    1048576         12582912          1000      702.286     1.49        17.92          718.113     692.909     701.759   

