the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               8                 1000      0.207       0.00        0.04           0.265       0.203       0.485     
2          2               16                1000      0.208       0.01        0.08           0.220       0.205       0.701     
4          4               32                1000      0.210       0.02        0.15           0.274       0.207       0.483     
8          8               64                1000      0.216       0.04        0.30           0.277       0.213       0.535     
16         16              128               1000      0.220       0.07        0.58           0.280       0.217       0.338     
32         32              256               1000      0.236       0.14        1.09           0.294       0.232       0.468     
64         64              512               1000      0.265       0.24        1.93           0.470       0.261       0.357     
128        128             1024              1000      0.326       0.39        3.15           0.374       0.319       0.635     
256        256             2048              1000      0.439       0.58        4.66           0.694       0.436       0.551     
512        512             4096              1000      0.684       0.75        5.99           0.768       0.681       0.903     
1024       1024            8192              1000      1.152       0.89        7.11           1.363       1.146       1.426     
2048       2048            16384             1000      2.085       0.98        7.86           2.363       2.079       2.304     
4096       4096            32768             1000      3.971       1.03        8.25           4.226       3.958       4.180     
8192       8192            65536             1000      7.724       1.06        8.48           12.900      7.683       7.865     
16384      16384           131072            1000      15.219      1.08        8.61           19.134      15.144      15.390    
32768      32768           262144            1000      30.282      1.08        8.66           35.107      30.071      30.488    
65536      65536           524288            1000      60.133      1.09        8.72           65.440      59.936      60.496    
131072     131072          1048576           1000      119.695     1.10        8.76           125.343     119.446     119.865   
262144     262144          2097152           1000      239.074     1.10        8.77           247.038     238.715     239.537   
524288     524288          4194304           1000      477.547     1.10        8.78           483.746     477.036     477.969   
1048576    1048576         8388608           1000      955.377     1.10        8.78           964.847     954.060     954.517   

