the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               8                 1000      0.221       0.00        0.04           0.363       0.215       0.339     
2          2               16                1000      0.238       0.01        0.07           0.490       0.217       0.345     
4          4               32                1000      0.227       0.02        0.14           0.291       0.219       0.452     
8          8               64                1000      0.231       0.03        0.28           0.280       0.223       0.428     
16         16              128               1000      0.232       0.07        0.55           0.460       0.223       0.578     
32         32              256               1000      0.253       0.13        1.01           0.302       0.236       0.326     
64         64              512               1000      0.300       0.21        1.71           0.499       0.274       0.458     
128        128             1024              1000      0.347       0.37        2.95           7.380       0.323       0.551     
256        256             2048              1000      0.458       0.56        4.47           0.891       0.441       0.537     
512        512             4096              1000      0.709       0.72        5.77           0.998       0.682       0.854     
1024       1024            8192              1000      1.174       0.87        6.98           1.417       1.148       1.231     
2048       2048            16384             1000      2.114       0.97        7.75           6.543       2.076       2.337     
4096       4096            32768             1000      4.011       1.02        8.17           10.271      3.964       4.636     
8192       8192            65536             1000      7.951       1.03        8.24           14.019      7.717       8.116     
16384      16384           131072            1000      15.689      1.04        8.35           21.542      15.161      15.689    
32768      32768           262144            1000      30.380      1.08        8.63           37.760      30.076      30.998    
65536      65536           524288            1000      61.080      1.07        8.58           68.092      60.455      61.055    
131072     131072          1048576           1000      121.221     1.08        8.65           130.202     120.184     121.437   
262144     262144          2097152           1000      240.541     1.09        8.72           249.185     239.454     240.284   
524288     524288          4194304           1000      479.109     1.09        8.75           487.829     478.015     478.807   
1048576    1048576         8388608           1000      956.771     1.10        8.77           965.475     955.115     955.287   

