the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               8                 1000      0.225       0.00        0.04           7.591       0.212       0.422     
2          2               16                1000      0.227       0.01        0.07           0.489       0.213       0.340     
4          4               32                1000      0.221       0.02        0.14           0.400       0.215       0.337     
8          8               64                1000      0.225       0.04        0.29           0.474       0.219       0.630     
16         16              128               1000      0.225       0.07        0.57           0.470       0.220       0.317     
32         32              256               1000      0.238       0.13        1.08           0.471       0.233       0.397     
64         64              512               1000      0.288       0.22        1.78           7.172       0.262       0.688     
128        128             1024              1000      0.339       0.38        3.02           0.476       0.322       0.578     
256        256             2048              1000      0.459       0.56        4.46           0.745       0.438       0.573     
512        512             4096              1000      0.712       0.72        5.75           7.195       0.680       0.898     
1024       1024            8192              1000      1.168       0.88        7.01           1.406       1.146       1.241     
2048       2048            16384             1000      2.111       0.97        7.76           6.763       2.073       2.773     
4096       4096            32768             1000      3.984       1.03        8.23           9.113       3.938       4.201     
8192       8192            65536             1000      7.929       1.03        8.27           8.485       7.701       8.287     
16384      16384           131072            1000      15.742      1.04        8.33           22.490      15.196      15.629    
32768      32768           262144            1000      30.274      1.08        8.66           36.866      30.037      30.478    
65536      65536           524288            1000      61.084      1.07        8.58           68.649      60.475      60.791    
131072     131072          1048576           1000      121.139     1.08        8.66           132.003     120.201     121.855   
262144     262144          2097152           1000      240.484     1.09        8.72           248.848     239.309     240.456   
524288     524288          4194304           1000      479.082     1.09        8.75           489.293     477.788     479.441   
1048576    1048576         8388608           1000      956.837     1.10        8.77           965.295     955.020     956.079   

