the current thread cpu affinity is 0x10, policy is 1, priority is 49
实点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               12                1000      0.272       0.00        0.04           0.438       0.267       1.007     
2          2               24                1000      0.274       0.01        0.09           0.538       0.268       0.490     
4          4               48                1000      0.277       0.01        0.17           0.442       0.271       0.846     
8          8               96                1000      0.281       0.03        0.34           0.476       0.276       0.839     
16         16              192               1000      0.286       0.06        0.67           0.529       0.280       1.074     
32         32              384               1000      0.302       0.11        1.27           0.608       0.296       0.887     
64         64              768               1000      0.358       0.18        2.15           0.629       0.328       0.620     
128        128             1536              1000      0.429       0.30        3.58           0.697       0.401       0.809     
256        256             3072              1000      0.573       0.45        5.37           0.757       0.546       0.838     
512        512             6144              1000      0.890       0.58        6.91           1.271       0.857       1.302     
1024       1024            12288             1000      1.502       0.68        8.18           1.955       1.442       1.830     
2048       2048            24576             1000      2.672       0.77        9.20           8.031       2.635       3.659     
4096       4096            49152             1000      5.006       0.82        9.82           5.337       4.933       5.537     
8192       8192            98304             1000      9.939       0.82        9.89           10.844      9.733       11.908    
16384      16384           196608            1000      22.738      0.72        8.65           31.323      20.324      24.681    
32768      32768           393216            1000      41.479      0.79        9.48           50.800      40.201      43.889    
65536      65536           786432            1000      80.448      0.81        9.78           95.737      78.026      83.330    
131072     131072          1572864           1000      154.868     0.85        10.16          168.052     153.172     155.489   
262144     262144          3145728           1000      303.828     0.86        10.35          316.861     301.917     304.446   
524288     524288          6291456           1000      604.588     0.87        10.41          618.407     601.213     603.924   
1048576    1048576         12582912          1000      1198.289    0.88        10.50          1213.394    1196.017    1198.136  

