the current thread cpu affinity is 0x10, policy is 1, priority is 49
实点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               12                1000      0.278       0.00        0.04           0.665       0.270       0.920     
2          2               24                1000      0.285       0.01        0.08           0.530       0.271       0.861     
4          4               48                1000      0.283       0.01        0.17           0.793       0.275       0.563     
8          8               96                1000      0.286       0.03        0.34           0.597       0.278       0.708     
16         16              192               1000      0.294       0.05        0.65           0.646       0.287       0.806     
32         32              384               1000      0.310       0.10        1.24           0.646       0.304       1.048     
64         64              768               1000      0.381       0.17        2.01           0.778       0.336       1.097     
128        128             1536              1000      0.447       0.29        3.44           0.799       0.409       1.003     
256        256             3072              1000      0.603       0.42        5.09           1.021       0.555       1.448     
512        512             6144              1000      0.998       0.51        6.15           1.590       0.866       1.988     
1024       1024            12288             1000      1.692       0.61        7.26           2.256       1.446       2.390     
2048       2048            24576             1000      2.664       0.77        9.23           8.578       2.609       3.445     
4096       4096            49152             1000      5.016       0.82        9.80           6.152       4.941       6.263     
8192       8192            98304             1000      9.865       0.83        9.96           16.417      9.685       11.931    
16384      16384           196608            1000      22.385      0.73        8.78           31.840      19.789      22.979    
32768      32768           393216            1000      40.792      0.80        9.64           48.953      38.972      45.051    
65536      65536           786432            1000      77.095      0.85        10.20          84.936      75.558      78.446    
131072     131072          1572864           1000      151.699     0.86        10.37          159.196     150.287     152.681   
262144     262144          3145728           1000      301.112     0.87        10.45          311.180     299.248     302.161   
524288     524288          6291456           1000      600.591     0.87        10.48          612.620     598.636     599.463   
1048576    1048576         12582912          1000      1197.252    0.88        10.51          1209.225    1194.593    1206.583  

