the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               8                 1000      0.207       0.00        0.04           0.445       0.201       0.641     
2          2               16                1000      0.204       0.01        0.08           0.284       0.202       0.664     
4          4               32                1000      0.207       0.02        0.15           0.283       0.204       0.337     
8          8               64                1000      0.210       0.04        0.30           0.271       0.208       0.651     
16         16              128               1000      0.218       0.07        0.59           0.332       0.215       0.330     
32         32              256               1000      0.232       0.14        1.10           0.503       0.229       0.564     
64         64              512               1000      0.262       0.24        1.95           0.527       0.258       0.388     
128        128             1024              1000      0.322       0.40        3.18           0.401       0.316       0.439     
256        256             2048              1000      0.437       0.59        4.69           0.602       0.433       0.535     
512        512             4096              1000      0.683       0.75        6.00           0.934       0.678       0.936     
1024       1024            8192              1000      1.146       0.89        7.15           1.244       1.143       1.220     
2048       2048            16384             1000      2.085       0.98        7.86           2.368       2.077       2.377     
4096       4096            32768             1000      3.963       1.03        8.27           9.278       3.949       4.117     
8192       8192            65536             1000      7.701       1.06        8.51           13.294      7.673       8.012     
16384      16384           131072            1000      15.171      1.08        8.64           20.186      15.133      15.545    
32768      32768           262144            1000      30.169      1.09        8.69           36.109      30.031      30.542    
65536      65536           524288            1000      60.198      1.09        8.71           65.537      59.858      59.974    
131072     131072          1048576           1000      119.906     1.09        8.74           125.257     119.551     120.183   
262144     262144          2097152           1000      239.105     1.10        8.77           247.210     238.716     239.438   
524288     524288          4194304           1000      477.905     1.10        8.78           486.739     477.201     477.505   
1048576    1048576         8388608           1000      955.321     1.10        8.78           963.173     954.021     954.564   

