the current thread cpu affinity is 0xffffffff, policy is 0, priority is 0
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               8                 1000      0.225       0.00        0.04           1.323       0.218       1.349     
2          2               16                1000      0.225       0.01        0.07           0.498       0.219       1.108     
4          4               32                1000      0.231       0.02        0.14           0.950       0.225       1.173     
8          8               64                1000      0.234       0.03        0.27           1.126       0.228       1.039     
16         16              128               1000      0.250       0.06        0.51           1.556       0.244       1.186     
32         32              256               1000      0.273       0.12        0.94           1.148       0.267       1.217     
64         64              512               1000      0.324       0.20        1.58           1.557       0.317       1.244     
128        128             1024              1000      0.477       0.27        2.15           1.330       0.412       1.227     
256        256             2048              1000      0.656       0.39        3.12           1.498       0.617       1.594     
512        512             4096              1000      1.198       0.43        3.42           22.075      1.047       2.301     
1024       1024            8192              1000      2.020       0.51        4.05           18.975      1.891       3.035     
2048       2048            16384             1000      3.677       0.56        4.46           4.794       3.580       4.757     
4096       4096            32768             1000      7.069       0.58        4.64           8.313       7.004       7.993     
8192       8192            65536             1000      14.468      0.57        4.53           462.114     13.756      14.852    
16384      16384           131072            1000      28.508      0.57        4.60           474.815     27.452      28.301    
32768      32768           262144            1000      55.259      0.59        4.74           162.705     54.681      55.781    
65536      65536           524288            1000      109.375     0.60        4.79           164.881     108.697     109.689   
131072     131072          1048576           1000      217.558     0.60        4.82           252.715     216.616     218.053   
262144     262144          2097152           1000      433.924     0.60        4.83           463.365     432.829     433.771   
524288     524288          4194304           1000      866.665     0.60        4.84           902.699     864.571     903.073   
1048576    1048576         8388608           1000      1733.933    0.60        4.84           1779.118    1729.735    1732.311  

