the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               8                 1000      0.230       0.00        0.03           0.456       0.213       0.811     
2          2               16                1000      0.222       0.01        0.07           0.382       0.216       0.633     
4          4               32                1000      0.227       0.02        0.14           0.557       0.218       0.485     
8          8               64                1000      0.224       0.04        0.29           0.475       0.217       0.336     
16         16              128               1000      0.232       0.07        0.55           0.690       0.222       0.469     
32         32              256               1000      0.267       0.12        0.96           0.530       0.243       0.870     
64         64              512               1000      0.282       0.23        1.81           0.805       0.266       0.737     
128        128             1024              1000      0.346       0.37        2.96           0.688       0.326       0.431     
256        256             2048              1000      0.460       0.56        4.46           0.727       0.441       0.719     
512        512             4096              1000      0.709       0.72        5.77           5.345       0.683       0.822     
1024       1024            8192              1000      1.174       0.87        6.98           1.416       1.147       1.269     
2048       2048            16384             1000      2.117       0.97        7.74           9.030       2.083       2.480     
4096       4096            32768             1000      4.313       0.95        7.60           4.876       3.981       6.023     
8192       8192            65536             1000      8.542       0.96        7.67           13.886      8.004       10.846    
16384      16384           131072            1000      18.901      0.87        6.93           25.082      18.065      22.638    
32768      32768           262144            1000      49.185      0.67        5.33           56.793      48.013      49.567    
65536      65536           524288            1000      102.418     0.64        5.12           110.587     101.761     106.263   
131072     131072          1048576           1000      207.437     0.63        5.05           217.776     205.983     217.029   
262144     262144          2097152           1000      467.118     0.56        4.49           477.153     422.344     475.529   
524288     524288          4194304           1000      1017.892    0.52        4.12           1029.296    965.329     1021.237  
1048576    1048576         8388608           1000      1362.980    0.77        6.15           1446.703    1351.821    1461.642  

