the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               4                 1000      0.147       0.01        0.03           0.201       0.142       0.335     
2          2               8                 1000      0.147       0.01        0.05           0.196       0.142       0.383     
4          4               16                1000      0.151       0.03        0.11           0.365       0.150       0.325     
8          8               32                1000      0.152       0.05        0.21           0.197       0.151       0.221     
16         16              64                1000      0.159       0.10        0.40           0.200       0.152       0.198     
32         32              128               1000      0.164       0.20        0.78           0.267       0.158       0.435     
64         64              256               1000      0.190       0.34        1.34           0.414       0.187       0.405     
128        128             512               1000      0.249       0.51        2.05           0.291       0.246       0.408     
256        256             1024              1000      0.365       0.70        2.80           0.391       0.362       0.699     
512        512             2048              1000      0.605       0.85        3.39           0.637       0.596       0.869     
1024       1024            4096              1000      1.073       0.95        3.82           1.308       1.064       1.446     
2048       2048            8192              1000      2.005       1.02        4.09           2.077       1.998       2.106     
4096       4096            16384             1000      3.865       1.06        4.24           4.117       3.859       4.154     
8192       8192            32768             1000      7.617       1.08        4.30           12.029      7.605       7.890     
16384      16384           65536             1000      15.078      1.09        4.35           21.978      15.057      15.342    
32768      32768           131072            1000      30.010      1.09        4.37           35.362      29.953      30.242    
65536      65536           262144            1000      59.858      1.09        4.38           65.503      59.738      60.223    
131072     131072          524288            1000      119.540     1.10        4.39           128.216     119.338     119.623   
262144     262144          1048576           1000      238.850     1.10        4.39           246.502     238.495     239.155   
524288     524288          2097152           1000      477.181     1.10        4.39           485.356     476.809     477.401   
1048576    1048576         4194304           1000      954.363     1.10        4.39           970.996     953.464     953.894   

