the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               4                 1000      0.144       0.01        0.03           0.353       0.140       0.407     
2          2               8                 1000      0.144       0.01        0.06           0.170       0.141       0.339     
4          4               16                1000      0.148       0.03        0.11           0.464       0.144       0.420     
8          8               32                1000      0.150       0.05        0.21           0.382       0.146       0.391     
16         16              64                1000      0.152       0.11        0.42           0.207       0.149       0.244     
32         32              128               1000      0.157       0.20        0.81           0.194       0.156       0.366     
64         64              256               1000      0.189       0.34        1.36           0.442       0.185       0.555     
128        128             512               1000      0.246       0.52        2.08           0.492       0.243       0.346     
256        256             1024              1000      0.363       0.70        2.82           0.580       0.360       0.426     
512        512             2048              1000      0.605       0.85        3.38           0.674       0.598       0.944     
1024       1024            4096              1000      1.070       0.96        3.83           1.226       1.062       1.429     
2048       2048            8192              1000      2.003       1.02        4.09           2.400       1.993       2.173     
4096       4096            16384             1000      3.874       1.06        4.23           9.540       3.860       4.146     
8192       8192            32768             1000      7.605       1.08        4.31           7.879       7.591       7.675     
16384      16384           65536             1000      15.078      1.09        4.35           15.526      15.039      15.571    
32768      32768           131072            1000      30.208      1.08        4.34           37.171      29.936      30.118    
65536      65536           262144            1000      60.031      1.09        4.37           67.561      59.829      60.247    
131072     131072          524288            1000      119.651     1.10        4.38           125.132     119.490     120.073   
262144     262144          1048576           1000      238.913     1.10        4.39           247.163     238.645     239.366   
524288     524288          2097152           1000      477.530     1.10        4.39           488.294     476.897     478.022   
1048576    1048576         4194304           1000      957.429     1.10        4.38           966.757     955.656     957.175   

