the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          6               24                1000      0.362       0.02        0.07           0.739       0.349       2.510     
4          24              96                1000      0.365       0.07        0.26           0.592       0.350       1.929     
16         96              384               1000      0.375       0.26        1.03           0.717       0.356       1.549     
64         384             1536              1000      0.391       0.98        3.93           1.356       0.370       2.430     
256        1536            6144              1000      0.440       3.49        13.95          0.648       0.423       1.851     
1024       6144            24576             1000      0.680       9.03        36.14          2.025       0.646       2.485     
4096       24576           98304             1000      1.622       15.15       60.59          9.802       1.536       3.823     
16384      98304           393216            1000      8.118       12.11       48.44          24.311      6.815       20.401    
65536      393216          1572864           1000      56.635      6.94        27.77          462.471     53.548      61.832    
262144     1572864         6291456           1000      196.171     8.02        32.07          254.689     194.227     201.667   
1048576    6291456         25165824          1000      1379.714    4.56        18.24          1419.608    1340.035    1478.983  

