the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          7               16                1000      0.306       0.02        0.05           0.424       0.295       1.050     
2          14              32                1000      0.310       0.05        0.10           0.548       0.298       0.535     
4          28              64                1000      0.312       0.09        0.21           0.375       0.301       0.493     
8          56              128               1000      0.320       0.17        0.40           0.600       0.305       0.561     
16         112             256               1000      0.328       0.34        0.78           0.412       0.317       0.571     
32         224             512               1000      0.353       0.63        1.45           0.430       0.341       0.618     
64         448             1024              1000      0.411       1.09        2.49           0.516       0.399       0.825     
128        896             2048              1000      0.531       1.69        3.85           0.881       0.516       0.728     
256        1792            4096              1000      0.777       2.31        5.27           1.027       0.749       1.199     
512        3584            8192              1000      1.301       2.75        6.30           1.542       1.235       1.476     
1024       7168            16384             1000      2.223       3.23        7.37           7.578       2.166       2.545     
2048       14336           32768             1000      4.060       3.53        8.07           4.312       4.028       4.472     
4096       28672           65536             1000      7.794       3.68        8.41           15.518      7.755       8.088     
8192       57344           131072            1000      15.307      3.75        8.56           20.986      15.223      15.814    
16384      114688          262144            1000      30.345      3.78        8.64           36.809      30.151      30.901    
32768      229376          524288            1000      60.133      3.81        8.72           68.607      59.944      60.788    
65536      458752          1048576           1000      119.761     3.83        8.76           127.631     119.574     120.688   
131072     917504          2097152           1000      238.955     3.84        8.78           247.578     238.705     240.841   
262144     1835008         4194304           1000      477.944     3.84        8.78           521.462     477.092     479.293   
524288     3670016         8388608           1000      956.394     3.84        8.77           972.722     954.604     955.998   
1048576    7340032         16777216          1000      1910.594    3.84        8.78           1941.720    1907.911    1909.763  

