the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          7               16                1000      0.302       0.02        0.05           0.378       0.292       0.693     
2          14              32                1000      0.305       0.05        0.10           0.568       0.297       0.595     
4          28              64                1000      0.315       0.09        0.20           0.608       0.301       0.510     
8          56              128               1000      0.326       0.17        0.39           0.517       0.317       0.706     
16         112             256               1000      0.331       0.34        0.77           0.573       0.323       0.687     
32         224             512               1000      0.352       0.64        1.46           0.730       0.340       0.787     
64         448             1024              1000      0.417       1.07        2.45           6.802       0.399       0.779     
128        896             2048              1000      0.527       1.70        3.89           0.808       0.515       0.967     
256        1792            4096              1000      0.768       2.33        5.33           1.084       0.747       1.147     
512        3584            8192              1000      1.278       2.80        6.41           1.562       1.235       1.729     
1024       7168            16384             1000      2.196       3.26        7.46           2.562       2.163       2.761     
2048       14336           32768             1000      4.045       3.54        8.10           4.327       4.024       4.498     
4096       28672           65536             1000      7.829       3.66        8.37           13.918      7.754       8.301     
8192       57344           131072            1000      15.297      3.75        8.57           23.199      15.204      15.858    
16384      114688          262144            1000      30.368      3.78        8.63           37.859      30.187      30.998    
32768      229376          524288            1000      60.179      3.81        8.71           66.603      59.962      60.464    
65536      458752          1048576           1000      119.720     3.83        8.76           125.929     119.509     120.602   
131072     917504          2097152           1000      238.970     3.84        8.78           247.615     238.702     240.268   
262144     1835008         4194304           1000      477.841     3.84        8.78           487.967     477.078     478.935   
524288     3670016         8388608           1000      956.411     3.84        8.77           971.028     954.822     965.979   
1048576    7340032         16777216          1000      1910.605    3.84        8.78           1922.883    1908.114    1909.435  

