the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               16                1000      0.307       0.00        0.05           0.413       0.295       0.793     
2          2               32                1000      0.306       0.01        0.10           0.337       0.296       0.830     
4          4               64                1000      0.304       0.01        0.21           0.533       0.296       0.452     
8          8               128               1000      0.310       0.03        0.41           0.549       0.300       0.443     
16         16              256               1000      0.319       0.05        0.80           0.364       0.307       0.546     
32         32              512               1000      0.329       0.10        1.55           0.427       0.321       0.499     
64         64              1024              1000      0.365       0.18        2.81           0.669       0.353       0.690     
128        128             2048              1000      0.438       0.29        4.68           0.653       0.425       0.631     
256        256             4096              1000      0.583       0.44        7.03           0.892       0.571       0.849     
512        512             8192              1000      0.897       0.57        9.14           1.231       0.882       1.046     
1024       1024            16384             1000      1.479       0.69        11.08          1.776       1.465       1.697     
2048       2048            32768             1000      2.679       0.76        12.23          9.740       2.634       3.065     
4096       4096            65536             1000      5.100       0.80        12.85          5.495       4.984       5.831     
8192       8192            131072            1000      9.937       0.82        13.19          14.909      9.738       10.416    
16384      16384           262144            1000      19.258      0.85        13.61          19.729      19.029      21.702    
32768      32768           524288            1000      37.897      0.86        13.83          43.178      37.614      42.743    
65536      65536           1048576           1000      75.211      0.87        13.94          82.867      74.921      94.806    
131072     131072          2097152           1000      209.098     0.63        10.03          225.895     172.798     242.472   
262144     262144          4194304           1000      516.534     0.51        8.12           528.501     480.385     526.492   
524288     524288          8388608           1000      1164.631    0.45        7.20           1194.040    1134.956    1177.128  
1048576    1048576         16777216          1000      2293.671    0.46        7.31           2349.569    2269.912    2287.980  

