the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          2               16                1000      0.302       0.01        0.05           0.372       0.292       0.718     
2          4               32                1000      0.303       0.01        0.11           0.328       0.295       0.786     
4          8               64                1000      0.305       0.03        0.21           0.352       0.297       0.777     
8          16              128               1000      0.309       0.05        0.41           0.402       0.300       0.612     
16         32              256               1000      0.316       0.10        0.81           0.477       0.307       0.677     
32         64              512               1000      0.341       0.19        1.50           0.393       0.331       0.538     
64         128             1024              1000      0.393       0.33        2.61           0.430       0.382       0.554     
128        256             2048              1000      0.494       0.52        4.14           0.555       0.485       0.745     
256        512             4096              1000      0.698       0.73        5.87           0.864       0.687       0.915     
512        1024            8192              1000      1.132       0.90        7.24           1.292       1.115       1.493     
1024       2048            16384             1000      1.945       1.05        8.43           2.166       1.929       2.129     
2048       4096            32768             1000      3.659       1.12        8.95           11.233      3.565       3.880     
4096       8192            65536             1000      6.871       1.19        9.54           7.631       6.819       7.511     
8192       16384           131072            1000      13.461      1.22        9.74           19.337      13.343      13.885    
16384      32768           262144            1000      26.593      1.23        9.86           32.564      26.427      27.056    
32768      65536           524288            1000      52.785      1.24        9.93           58.553      52.539      53.299    
65536      131072          1048576           1000      105.161     1.25        9.97           110.760     104.883     106.066   
131072     262144          2097152           1000      209.568     1.25        10.01          218.144     209.107     210.382   
262144     524288          4194304           1000      418.824     1.25        10.01          432.117     417.804     418.621   
524288     1048576         8388608           1000      836.697     1.25        10.03          845.815     835.356     837.185   
1048576    2097152         16777216          1000      2011.860    1.04        8.34           2033.352    2003.868    2014.461  

