the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          2               24                1000      0.433       0.00        0.06           0.627       0.420       1.166     
2          4               48                1000      0.437       0.01        0.11           0.596       0.422       0.941     
4          8               96                1000      0.499       0.02        0.19           0.873       0.482       1.660     
8          16              192               1000      0.440       0.04        0.44           0.585       0.428       0.823     
16         32              384               1000      0.446       0.07        0.86           0.552       0.435       0.922     
32         64              768               1000      0.480       0.13        1.60           0.701       0.461       1.103     
64         128             1536              1000      0.522       0.25        2.94           0.663       0.509       1.046     
128        256             3072              1000      0.624       0.41        4.92           0.783       0.610       1.139     
256        512             6144              1000      0.839       0.61        7.32           1.206       0.813       1.285     
512        1024            12288             1000      1.267       0.81        9.70           1.582       1.245       1.857     
1024       2048            24576             1000      2.098       0.98        11.71          2.389       2.059       2.454     
2048       4096            49152             1000      3.734       1.10        13.16          10.390      3.689       4.378     
4096       8192            98304             1000      7.285       1.12        13.49          7.681       7.029       7.707     
8192       16384           196608            1000      13.914      1.18        14.13          14.270      13.610      14.312    
16384      32768           393216            1000      26.939      1.22        14.60          31.534      26.672      27.968    
32768      65536           786432            1000      53.047      1.24        14.83          60.306      52.744      53.686    
65536      131072          1572864           1000      105.202     1.25        14.95          118.141     104.888     106.588   
131072     262144          3145728           1000      210.550     1.25        14.94          219.257     209.598     211.612   
262144     524288          6291456           1000      420.353     1.25        14.97          479.030     418.869     421.021   
524288     1048576         12582912          1000      838.931     1.25        15.00          899.266     837.051     838.802   
1048576    2097152         25165824          1000      2027.537    1.03        12.41          2046.092    2019.197    2027.313  

