the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               8                 1000      0.081       0.01        0.10           0.091       0.073       0.202     
2          2               16                1000      0.081       0.02        0.20           0.094       0.073       0.101     
4          4               32                1000      0.084       0.05        0.38           0.130       0.073       0.221     
8          8               64                1000      0.086       0.09        0.74           0.127       0.075       0.117     
16         16              128               1000      0.088       0.18        1.46           0.117       0.076       0.114     
32         32              256               1000      0.089       0.36        2.87           0.123       0.078       0.250     
64         64              512               1000      0.091       0.70        5.64           0.131       0.083       0.317     
128        128             1024              1000      0.105       1.22        9.74           0.140       0.098       0.191     
256        256             2048              1000      0.135       1.90        15.20          0.171       0.128       0.211     
512        512             4096              1000      0.196       2.61        20.91          0.235       0.189       0.345     
1024       1024            8192              1000      0.318       3.22        25.75          0.354       0.311       0.365     
2048       2048            16384             1000      0.571       3.59        28.72          8.397       0.555       0.655     
4096       4096            32768             1000      1.050       3.90        31.20          1.259       1.042       1.230     
8192       8192            65536             1000      2.027       4.04        32.33          2.295       2.018       2.670     
16384      16384           131072            1000      4.002       4.09        32.75          4.238       3.970       4.737     
32768      32768           262144            1000      7.977       4.11        32.86          8.524       7.912       9.271     
65536      65536           524288            1000      16.619      3.94        31.55          21.566      15.717      22.161    
131072     131072          1048576           1000      33.128      3.96        31.65          36.354      31.269      41.808    
262144     262144          2097152           1000      70.842      3.70        29.60          77.790      62.528      93.101    
524288     524288          4194304           1000      162.388     3.23        25.83          198.138     146.088     197.612   
1048576    1048576         8388608           1000      425.489     2.46        19.72          437.578     418.611     432.426   

