the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               12                1000      0.278       0.00        0.04           0.331       0.269       0.752     
2          2               24                1000      0.280       0.01        0.09           0.326       0.270       0.755     
4          4               48                1000      0.283       0.01        0.17           0.533       0.274       0.415     
8          8               96                1000      0.288       0.03        0.33           0.329       0.278       0.481     
16         16              192               1000      0.300       0.05        0.64           0.501       0.291       0.530     
32         32              384               1000      0.321       0.10        1.20           0.425       0.311       0.571     
64         64              768               1000      0.366       0.17        2.10           0.432       0.354       0.491     
128        128             1536              1000      0.454       0.28        3.39           0.502       0.442       0.642     
256        256             3072              1000      0.626       0.41        4.91           0.861       0.616       0.792     
512        512             6144              1000      0.985       0.52        6.24           1.090       0.973       1.143     
1024       1024            12288             1000      1.705       0.60        7.21           8.349       1.675       1.899     
2048       2048            24576             1000      3.085       0.66        7.97           3.317       3.068       3.225     
4096       4096            49152             1000      5.878       0.70        8.36           6.099       5.862       6.186     
8192       8192            98304             1000      11.566      0.71        8.50           17.649      11.464      11.765    
16384      16384           196608            1000      22.865      0.72        8.60           29.755      22.697      23.138    
32768      32768           393216            1000      45.283      0.72        8.68           51.804      45.064      45.745    
65536      65536           786432            1000      89.883      0.73        8.75           97.533      89.729      90.113    
131072     131072          1572864           1000      179.336     0.73        8.77           185.095     179.145     179.594   
262144     262144          3145728           1000      358.538     0.73        8.77           385.516     357.924     358.968   
524288     524288          6291456           1000      717.079     0.73        8.77           730.337     715.840     716.998   
1048576    1048576         12582912          1000      1434.598    0.73        8.77           1500.316    1432.033    1432.562  

