the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               4                 1000      0.164       0.01        0.02           0.202       0.156       0.454     
2          2               8                 1000      0.165       0.01        0.05           0.199       0.153       0.221     
4          4               16                1000      0.167       0.02        0.10           0.194       0.158       0.285     
8          8               32                1000      0.171       0.05        0.19           0.216       0.161       0.279     
16         16              64                1000      0.178       0.09        0.36           0.224       0.171       0.342     
32         32              128               1000      0.193       0.17        0.66           0.439       0.183       0.296     
64         64              256               1000      0.221       0.29        1.16           0.252       0.212       0.343     
128        128             512               1000      0.281       0.46        1.82           0.496       0.270       0.435     
256        256             1024              1000      0.396       0.65        2.58           0.434       0.387       0.513     
512        512             2048              1000      0.637       0.80        3.21           0.843       0.627       0.775     
1024       1024            4096              1000      1.102       0.93        3.72           1.155       1.093       1.225     
2048       2048            8192              1000      2.037       1.01        4.02           2.243       2.024       2.149     
4096       4096            16384             1000      3.904       1.05        4.20           12.490      3.886       3.979     
8192       8192            32768             1000      7.628       1.07        4.30           7.870       7.611       8.008     
16384      16384           65536             1000      15.082      1.09        4.35           15.293      15.064      15.255    
32768      32768           131072            1000      30.011      1.09        4.37           36.562      29.958      30.103    
65536      65536           262144            1000      59.881      1.09        4.38           66.460      59.773      59.879    
131072     131072          524288            1000      119.492     1.10        4.39           126.132     119.350     119.502   
262144     262144          1048576           1000      238.711     1.10        4.39           246.802     238.531     239.062   
524288     524288          2097152           1000      477.135     1.10        4.40           484.306     476.832     477.260   
1048576    1048576         4194304           1000      954.243     1.10        4.40           968.131     953.468     954.369   

