the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          6               8                 1000      0.080       0.07        0.10           0.286       0.073       0.152     
2          12              16                1000      0.079       0.15        0.20           0.114       0.072       0.404     
3          18              24                1000      0.080       0.22        0.30           0.286       0.073       0.135     
4          24              32                1000      0.084       0.29        0.38           0.248       0.075       0.237     
5          30              40                1000      0.085       0.35        0.47           0.306       0.077       0.133     
6          36              48                1000      0.085       0.43        0.57           0.165       0.076       0.418     
7          42              56                1000      0.085       0.50        0.66           0.302       0.078       0.130     
8          48              64                1000      0.086       0.56        0.74           0.097       0.079       0.128     
16         96              128               1000      0.090       1.06        1.42           0.294       0.080       0.282     
32         192             256               1000      0.098       1.97        2.62           0.322       0.087       0.148     
64         384             512               1000      0.109       3.53        4.71           0.343       0.097       0.347     
128        768             1024              1000      0.132       5.82        7.76           0.329       0.124       0.293     
256        1536            2048              1000      0.180       8.53        11.38          0.209       0.172       0.403     
512        3072            4096              1000      0.293       10.50       13.99          0.580       0.275       0.804     
1024       6144            8192              1000      0.498       12.35       16.46          0.793       0.476       1.350     
2048       12288           16384             1000      0.879       13.98       18.64          1.076       0.872       1.211     
4096       24576           32768             1000      1.680       14.63       19.50          1.992       1.675       1.855     
8192       49152           65536             1000      3.314       14.83       19.78          13.914      3.277       4.298     
16384      98304           131072            1000      6.663       14.75       19.67          23.247      6.479       7.839     
32768      196608          262144            1000      13.351      14.73       19.63          14.352      12.891      14.207    
65536      393216          524288            1000      25.996      15.13       20.17          31.505      25.716      26.819    
131072     786432          1048576           1000      52.143      15.08       20.11          169.162     51.675      53.303    
262144     1572864         2097152           1000      103.398     15.21       20.28          110.480     102.918     105.004   
524288     3145728         4194304           1000      206.158     15.26       20.35          226.996     205.516     208.895   
1048576    6291456         8388608           1000      416.435     15.11       20.14          438.470     414.138     417.608   

