the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               8                 1000      0.237       0.00        0.03           0.275       0.224       0.707     
2          2               16                1000      0.239       0.01        0.07           0.283       0.225       0.378     
4          4               32                1000      0.240       0.02        0.13           0.271       0.228       0.395     
8          8               64                1000      0.244       0.03        0.26           0.507       0.230       0.361     
16         16              128               1000      0.251       0.06        0.51           0.350       0.235       0.372     
32         32              256               1000      0.266       0.12        0.96           0.293       0.250       0.460     
64         64              512               1000      0.296       0.22        1.73           0.536       0.279       0.386     
128        128             1024              1000      0.356       0.36        2.87           6.031       0.337       0.534     
256        256             2048              1000      0.467       0.55        4.38           0.515       0.455       0.622     
512        512             4096              1000      0.705       0.73        5.81           0.945       0.691       0.830     
1024       1024            8192              1000      1.176       0.87        6.97           1.242       1.157       1.318     
2048       2048            16384             1000      2.107       0.97        7.78           2.336       2.090       2.281     
4096       4096            32768             1000      3.969       1.03        8.26           9.514       3.949       4.148     
8192       8192            65536             1000      7.719       1.06        8.49           13.255      7.678       7.843     
16384      16384           131072            1000      15.206      1.08        8.62           20.709      15.137      15.405    
32768      32768           262144            1000      30.151      1.09        8.69           35.809      30.043      30.283    
65536      65536           524288            1000      59.961      1.09        8.74           65.980      59.847      60.170    
131072     131072          1048576           1000      119.564     1.10        8.77           125.338     119.439     119.643   
262144     262144          2097152           1000      238.981     1.10        8.78           258.319     238.608     239.494   
524288     524288          4194304           1000      477.842     1.10        8.78           486.243     477.100     477.678   
1048576    1048576         8388608           1000      955.228     1.10        8.78           1018.228    953.993     954.622   

