the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               8                 1000      0.219       0.00        0.04           0.473       0.205       0.862     
2          2               16                1000      0.221       0.01        0.07           0.533       0.207       0.552     
4          4               32                1000      0.222       0.02        0.14           0.441       0.209       0.822     
8          8               64                1000      0.228       0.04        0.28           0.379       0.212       0.712     
16         16              128               1000      0.234       0.07        0.55           0.385       0.220       0.570     
32         32              256               1000      0.248       0.13        1.03           0.389       0.234       0.572     
64         64              512               1000      0.278       0.23        1.84           0.514       0.263       0.535     
128        128             1024              1000      0.336       0.38        3.05           0.614       0.322       0.619     
256        256             2048              1000      0.452       0.57        4.53           0.588       0.438       0.794     
512        512             4096              1000      0.699       0.73        5.86           0.906       0.679       1.142     
1024       1024            8192              1000      1.159       0.88        7.07           1.594       1.143       1.386     
2048       2048            16384             1000      2.093       0.98        7.83           2.358       2.073       2.558     
4096       4096            32768             1000      3.969       1.03        8.26           4.211       3.950       4.320     
8192       8192            65536             1000      7.715       1.06        8.49           14.291      7.674       8.127     
16384      16384           131072            1000      15.245      1.07        8.60           24.296      15.139      15.624    
32768      32768           262144            1000      30.344      1.08        8.64           37.443      30.086      30.520    
65536      65536           524288            1000      60.084      1.09        8.73           67.894      59.886      60.624    
131072     131072          1048576           1000      119.771     1.09        8.75           127.246     119.475     120.161   
262144     262144          2097152           1000      239.154     1.10        8.77           247.089     238.645     239.599   
524288     524288          4194304           1000      477.773     1.10        8.78           492.058     477.016     477.662   
1048576    1048576         8388608           1000      955.544     1.10        8.78           964.692     954.199     954.858   

